"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[h]"     ,     "rms[k]"     ,     "rms[w]"     ,  "rms[rho*Y_0]"  ,"LinSolIter",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,"LinSolIterSpecies","LinSolResSpecies", "Avg_TotalPress" ,  "Avg_Species_0" ,"Species_Variance","Avg_TotalPress(inlet_gas)","Avg_TotalPress(inlet_air)","Avg_TotalPress(outlet)","Avg_Species_0(inlet_gas)","Avg_Species_0(inlet_air)","Avg_Species_0(outlet)","Species_Variance(inlet_gas)","Species_Variance(inlet_air)","Species_Variance(outlet)"
          0,           0,           0,-2.430465101910809,-0.3150984228239568,  -16.691204664716, 2.357610114521432,-0.5893761005242364, 3.387873564411524,-3.107402256812006,           5,-2.866930379802279,               3,-5.830026721253648,                  5,-4.468307299808864, 4068.707749520611, 1.677817136580691,0.01254538433519036,          4404.301969345578,         -1650.805559527152,       1315.211339702186,         1.619790658360435,      0.009598477552202092,    0.04842800066805451,         0.002176387193226039,          0.01036889782699791,     9.931496640916078e-08
          0,           0,           1,-2.742728098230055,-0.4499356877234635,-1.803549598111873, 1.961114102199688,-1.062695780857868, 2.906310807773502,-2.944451854176441,           5,-2.018458974738271,               3,-5.791011860328577,                  5,-5.455166655516776, 2618.361928234905, 1.082776018731911,0.01406699859100329,          4971.878925492747,         -3223.131560237234,       869.6145629793916,         1.029281074526252,      0.007198473207817173,    0.04629647099784145,         0.005532990702698581,         0.008533834787416799,     1.731008879131432e-07
          0,           0,           2,-3.146554413214208,-0.8808928420302181,-1.997499350511989, 2.091101362682565,-1.226768143813486, 2.551079999015315,-3.366729775148301,           5,-1.835746586672578,               3,-5.460415098221446,                  5,-5.662352192146261,-3572.022173035543,0.9326219561692202,0.007875790435000411,          785.6317037950074,         -4183.666747644627,      -173.9871291859236,        0.8835988667163956,      0.005663061915516967,    0.04336002753730754,         0.002310067134052161,           0.0055650550222809,     6.682786673497184e-07
          0,           0,           3,-3.184244640544071,-0.9472130360698153,-1.488916473126955, 1.949991351267992, -1.32068925471625, 2.246255365024818,-3.774223160160802,           5,-1.906768775968392,               3,-5.087718627345521,                  5,-5.376322294388766,-8496.713134646883,0.9269512351551448,0.004116409668674745,         -2458.023601737745,         -4954.750225463138,         -1083.939307446,        0.8820807775072821,        0.0046105078857666,    0.04025994976209616,         0.000243818217480601,         0.003871375048827308,     1.216402366834933e-06
          0,           0,           4,-3.190358314370703,-0.9774698409456819,-1.645084580225916,  1.83173936471035,-1.496880462594618, 2.008340525964986,-3.887789674746688,           5, -1.97621308303979,               4,-6.088781269471034,                  5,-4.809965662064831, -11282.1398801506,0.9691957688136796,0.004056099285157265,         -4143.721530818443,         -5451.376177069254,      -1687.042172262904,        0.9288029526497675,      0.003933585859149448,    0.03645923030476257,         0.001093783043541092,         0.002960641540266581,     1.674701349593091e-06
          0,           0,           5,-3.166324323392918,-0.953624462079278,-1.772582619597076, 1.634977986495843,-1.587288929633409, 1.850987228588578, -3.95225189030625,           5, -1.85550058163199,               4,-5.557379734103384,                  5,-4.403218027219349,-11901.83349698699, 1.012338071823097,0.005791929119798736,          -4478.69365747483,         -5622.781576625827,      -1800.358262886333,        0.9771418844566404,      0.003593554059339034,    0.03160263330711754,         0.003200764749705076,         0.002588873517007811,     2.290853085848823e-06
          0,           0,           6,-3.188055174882469,-0.9572122397283065,-2.182830246650323,   1.5570980814803,-1.581708945243778, 1.711349969325265,-3.979023468490078,           5,-2.095314781681493,               4,-5.310276250204277,                  5,-4.092346389026325,-11358.98213720002,  1.02704007759663,0.006754994867612705,         -4226.608413415584,         -5431.197040207793,       -1701.17668357664,         1.002691012996024,      0.003493109923576729,    0.02085595467702915,         0.004221087581761578,         0.002517772701457037,     1.613458439408999e-05
          0,           0,           7,-3.198799551521305,-0.9703577628777742,-2.409661955485785, 1.544371114150347,-1.463816694917941, 1.636729815597703,-3.980046046919136,           5, -1.88169962161451,               5,-6.216581539849123,                  5,-3.770977344730431,-9944.515959874525, 1.033157403121871,0.007112573159724154,         -3705.630403356732,          -4766.32417190537,      -1472.561384612423,         1.020904943605004,      0.003524407854501008,   0.008728051662365554,         0.004525265050692194,          0.00257692637575861,     1.038173327334977e-05
          0,           0,           8,-3.180752394385854,-0.9736842655807225,-2.247517802641177, 1.553805252515508,-1.451406549607183, 1.580735178558195,-3.971213271113808,           5,-1.559170190910279,               5,-5.815247819548827,                  5,-3.578313179714157,-7723.954779521552, 1.054683354272453,0.007300452235079323,         -2930.197025191446,          -3714.49481212903,      -1079.262942201076,         1.044232777161023,      0.003632969094171169,   0.006817608017259383,         0.004548590216329352,         0.002740032867379878,     1.182915137009345e-05
          0,           0,           9,-3.163303339646791,-0.9874000720455721,-2.418060087566016, 1.585000656840582,-1.458882189497143, 1.555248123576138, -3.95628619275299,           5,-1.384826271928058,               5,-5.579125475371479,                  5,-3.411743941932076,-5000.163649215675, 1.080874496633407,0.007123750966359729,         -1872.864030181786,         -2457.246901908039,        -670.05271712585,         1.070941991936822,      0.003846151104763535,   0.006086353591821704,         0.004042173392030403,         0.003068601897111868,     1.297567721745769e-05
          0,           0,          10,-3.151651539677918,-1.009427981346852,-2.157965912441344, 1.629401728839933,-1.471493137716439, 1.535669524443375,-3.929486206518861,           5,  -1.4359376311745,               5,-5.349724598224467,                  5, -3.39702474391978,-1977.096895680266, 1.105478882888182,0.006369928315980301,         -584.3295592004816,         -1123.109607699163,      -269.6577287806215,         1.095431989502796,       0.00422226136492175,   0.005824632020464669,         0.002663862487892178,         0.003690692587423603,     1.537324066452065e-05
          0,           0,          11,-3.158568254677497,-1.047196621533587,-2.019940879117307, 1.673502358260914, -1.53185524577978,   1.4862181880761,-3.922165876145966,           5,-1.483390659139244,               5,-5.270323199837946,                  5,-3.300627938947697, 1004.319926164716,  1.11594835751439,0.005563325711866008,          763.8952554029432,          126.4263943663226,       113.9982763954497,         1.105288206598209,      0.004752372328233799,   0.005907778587947298,        0.0008698213185222241,         0.004673699347368846,     1.980504597493749e-05
          0,           0,          12,-3.197872673591356,-1.109446659000826,-2.151329923727354, 1.673108134650321,-1.601888499726098, 1.429836352627783,-3.923141213274457,           5,-1.501912193445506,               5,-5.244442119514527,                  5,-3.173686079251592, 3612.948081005182, 1.109387523399169,0.005994731911402034,          1963.749083190217,            1184.9915604052,        464.207437409765,         1.097696397067745,      0.005291455321576417,   0.006399671009847005,        0.0001614216521261489,         0.005804641460633756,     2.866879864212896e-05
          0,           0,          13,-3.248857291917635,-1.152761948576209,-2.172187110641034, 1.631601131605427,-1.655394606728915, 1.375811537075373, -3.93614225825281,           5, -1.50908782064098,               5,-5.223139769656753,                  5,-3.109862427728058, 5698.300122930615, 1.095091658822454,0.007661369726297925,          2917.592720610282,          2011.617594530905,       769.0898077894281,         1.081816590275545,      0.005714496692754176,   0.007560571854155004,         0.000837044974892755,          0.00678051678549354,     4.380796591162894e-05
          0,           0,          14,-3.267256935926263,-1.145927768753679,-2.078961240507935, 1.567881814320568, -1.71015141800935, 1.316846131231444,-3.958993350013136,           5,-1.485417132787277,               5,-5.157654227051077,                  5,-3.037950809696665, 7199.948671973239, 1.081839698267242,0.009705590285882394,          3616.442191697659,          2588.846724959295,       994.6597553162866,         1.065085490271033,      0.006008024855786173,     0.0107461831404227,         0.002112951183019104,         0.007500826784589592,     9.181231827369956e-05
          0,           0,          15,-3.252667439129722,-1.132716034837802,-2.143938185617912, 1.498098710609289,-1.745392274964967, 1.270297219099822,-3.974554880492759,           5,-1.529802865043565,               5,-5.018845615608884,                  5,-2.920579776163888, 8118.171345332622, 1.081190797871601,0.01148113557425138,          4093.146821832207,          2919.721519151948,       1105.303004348468,         1.049753849307908,      0.006199709061111757,    0.02523723950258137,         0.003414567677123143,         0.007989763750550931,     7.680414657730631e-05
